ZipcodeID,DistrictCode,ZipcodeCode
1255,240406,24180
1256,240407,24130
1257,240408,24130
1258,240409,24130
1259,240410,24130
1260,240411,24180
1261,240412,24130
1262,240501,24140
1263,240502,24140
1264,240503,24140
1265,240504,24140
1266,240505,24140
1267,240506,24140
1268,240507,24140
1269,240508,24140
1270,240509,24140
1271,240510,24140
1272,240511,24140
1273,240512,24140
1274,240513,24140
1275,240514,24140
1276,240515,24140
1277,240516,24140
1278,240517,24140
1279,240601,24120
1280,240602,24120
1281,240603,24120
1282,240604,24120
1283,240605,24120
1284,240606,24120
1285,240607,24120
1286,240608,24120
1287,240701,24120
1288,240702,24120
1289,240703,24120
1290,240801,24160
1291,240802,24160
1292,240803,24160
1293,240805,24160
1294,240901,24190
1295,240902,24190
1296,240903,24190
1297,240904,24190
1298,241001,24160
1299,241002,24160
1300,241101,24000
1301,241102,24000
1302,241103,24000
1303,241104,24000
1304,241105,24110
1305,250101,25000
1306,250102,25000
1307,250103,25000
1308,250104,25000
1309,250105,25000
1310,250106,25000
1311,250107,25000
1312,250108,25230
1313,250109,25230
1314,250110,25230
1315,250111,25000
1316,250112,25230
1317,250113,25000
1318,250201,25110
1319,250202,25240
1320,250203,25110
1321,250204,25110
1322,250205,25110
1323,250206,25110
1324,250207,25110
1325,250208,25110
1326,250209,25110
1327,250210,25110
1328,250211,25110
1329,250212,25110
1330,250213,25110
1331,250214,25110
1332,250301,25220
1333,250302,25220
1334,250303,25220
1335,250304,25220
1336,250305,25220
1337,250306,25220
1338,250601,25150
1339,250602,25150
1340,250603,25150
1341,250604,25150
1342,250605,25150
1343,250606,25150
1344,250607,25150
1345,250608,25150
1346,250609,25150
1347,250701,25130
1348,250702,25130
1349,250703,25130
1350,250704,25130
1351,250705,25130
1352,250706,25130
1353,250707,25130
1354,250708,25130
1355,250709,25130
1356,250801,25140
1357,250802,25140
1358,250803,25140
1359,250804,25140
1360,250805,25140
1361,250806,25140
1362,250807,25140
1363,250808,25140
1364,250809,25140
1365,250810,25140
1366,250901,25190
1367,250902,25190
1368,250903,25190
1369,250904,25190
1370,260101,26000
1371,260102,26000
1372,260103,26000
1373,260104,26000
1374,260105,26000
1375,260106,26000
1376,260107,26000
1377,260108,26000
1378,260109,26000
1379,260110,26000
1380,260111,26000
1381,260112,26000
1382,260113,26000
1383,260201,26130
1384,260202,26130
1385,260203,26130
1386,260204,26130
1387,260205,26130
1388,260206,26130
1389,260207,26130
1390,260301,26110
1391,260302,26110
1392,260303,26110
1393,260304,26110
1394,260305,26110
1395,260306,26110
1396,260307,26110
1397,260308,26110
1398,260309,26110
1399,260310,26110
1400,260401,26120
1401,260402,26120
1402,260403,26120
1403,260404,26120
1404,260405,26120
1405,260406,26120
1406,260407,26120
1407,260408,26120
1408,260409,26120
1409,260410,26120
1410,260411,26120
1411,270101,27000
1412,270102,27000
1413,270103,27000
1414,270104,27000
1415,270105,27000
1416,270106,27000
1417,270108,27000
1418,270111,27000
1419,270201,27260
1420,270202,27260
1421,270203,27260
1422,270204,27260
1423,270205,27260
1424,270206,27260
1425,270207,27260
1426,270301,27180
1427,270302,27180
1428,270306,27180
1429,270307,27180
1430,270309,27180
1431,270401,27210
1432,270403,27210
1433,270405,27210
1434,270406,27210
1435,270501,27160
1436,270502,27160
1437,270503,27160
1438,270504,27160
1439,270505,27160
1440,270506,27160
1441,270507,27160
1442,270508,27160
1443,270509,27160
1444,270510,27160
1445,270511,27160
1446,270601,27120
1447,270602,27120
1448,270603,27120
1449,270604,27120
1450,270605,27120
1451,270606,27120
1452,270607,27120
1453,270608,27120
1454,270609,27120
1455,270610,27120
1456,270611,27120
1457,270612,27120
1458,270613,27120
1459,270701,27000
1460,270702,27000
1461,270703,27000
1462,270704,27000
1463,270801,27120
1464,270802,27180
1465,270803,27180
1466,270804,27120
1467,270901,27250
1468,270902,27250
1469,270903,27250
1470,300101,30000
1471,300102,30000
1472,300103,30000
1473,300104,30310
1474,300105,30000
1475,300106,30000
1476,300107,30000
1477,300108,30000
1478,300109,30000
1479,300110,30000
1480,300111,30000
1481,300112,30000
1482,300113,30000
1483,300114,30000
1484,300115,30310
1485,300116,30310
1486,300117,30280
1487,300118,30000
1488,300119,30000
1489,300120,30000
1490,300121,30000
1491,300122,30310
1492,300123,30000
1493,300124,30000
1494,300125,30310
1495,300201,30250
1496,300202,30250
1497,300203,30250
1498,300204,30250
1499,300205,30250
1500,300206,30250
1501,300207,30250
1502,300208,30250
1503,300209,30250
1504,300210,30250
1505,300211,30250
1506,300212,30250
1507,300301,30330
1508,300302,30330
1509,300303,30330
1510,300304,30330
1511,300305,30330
1512,300306,30330
1513,300401,30260
1514,300402,30260
1515,300403,30260
1516,300404,30260
